episode,reward
0,-30.0
1,-34.0
2,-23.5
3,-24.0
4,-82.5
5,-53.5
6,-51.0
7,-24.5
8,-66.5
9,-56.5
10,-55.0
11,-61.5
12,-66.5
13,-38.5
14,-70.0
15,-65.5
16,-29.5
17,-38.0
18,-37.5
19,-50.0
20,-55.5
21,-19.0
22,-27.0
23,-26.5
24,-53.0
25,-54.5
26,-52.0
27,-13.0
28,-43.5
29,-45.5
30,-26.0
31,-25.5
32,-32.0
33,-36.5
34,-23.0
35,-48.5
36,-43.0
37,-57.0
38,-61.5
39,-29.5
40,-16.0
41,-39.0
42,-41.5
43,-60.0
44,-42.0
45,-70.0
46,-72.5
47,-59.5
48,-70.5
49,-25.5
50,-31.0
51,-56.0
52,-38.5
53,-57.0
54,-79.0
55,-61.5
56,-32.0
57,-70.0
58,-33.5
59,-40.5
60,-58.5
61,-67.0
62,-28.5
63,-34.5
64,-43.5
65,-58.5
66,-32.5
67,-36.0
68,-48.5
69,-39.0
70,-33.5
71,-23.5
72,-58.5
73,-29.0
74,-25.0
75,-43.5
76,-26.0
77,-38.5
78,-36.5
79,-42.5
80,-30.5
81,-76.0
82,-56.0
83,-56.5
84,-39.0
85,-49.5
86,-78.5
87,-40.5
88,-60.0
89,-45.5
90,-75.5
91,-30.0
92,-56.5
93,-20.0
94,-46.5
95,-50.0
96,-73.0
97,-37.5
98,-30.0
99,-22.5
100,-48.5
101,-27.0
102,-45.5
103,-29.5
104,-23.0
105,-27.0
106,-64.0
107,-23.5
108,-47.5
109,-28.0
110,-28.5
111,-51.0
112,-31.5
113,-26.0
114,-45.0
115,-51.5
116,-48.0
117,-48.0
118,-34.5
119,-35.0
120,-24.5
121,-34.5
122,-67.5
123,-38.0
124,-27.0
125,-12.5
126,-32.0
127,-41.0
128,-69.5
129,-23.5
130,-24.0
131,-64.5
132,-30.0
133,-30.5
134,-55.5
135,-25.5
136,-35.0
137,-42.5
138,-30.0
139,-67.5
140,-55.0
141,-55.5
142,-32.0
143,-36.0
144,-39.0
145,-70.0
146,-7.5
147,-32.5
148,-30.5
149,-40.5
150,-29.5
151,-65.0
152,-45.5
153,-42.0
154,-62.5
155,-37.0
156,-33.0
157,-31.5
158,-42.5
159,-47.5
160,-73.0
161,-46.0
162,-25.5
163,-26.5
164,-34.5
165,-51.0
166,-30.5
167,-30.0
168,-60.0
169,-40.0
170,-51.0
171,-46.5
172,-37.0
173,-68.5
174,-65.5
175,-45.0
176,-37.5
177,-60.0
178,-57.0
179,-25.0
180,-47.0
181,-62.5
182,-23.0
183,-45.5
184,-33.0
185,-29.5
186,-49.5
187,-42.0
188,-56.0
189,-62.0
190,-52.0
191,-23.0
192,-33.0
193,-21.0
194,-26.5
195,-53.0
196,-67.5
197,-49.0
198,-54.5
199,-49.0
200,-63.5
201,-61.5
202,-48.0
203,-26.5
204,-12.0
205,-57.0
206,-62.5
207,-25.5
208,-60.5
209,-45.0
210,-32.5
211,-44.5
212,-36.5
213,-60.5
214,-51.5
215,-29.0
216,-57.5
217,-54.0
218,-25.0
219,-52.0
220,-49.0
221,-55.0
222,-30.0
223,-44.5
224,-37.5
225,-76.0
226,-20.5
227,-47.0
228,-64.0
229,-18.0
230,-35.0
231,-21.5
232,-63.5
233,-38.0
234,-41.5
235,-45.5
236,-26.5
237,-22.0
238,-31.5
239,-43.0
240,-43.5
241,-43.0
242,-62.0
243,-41.0
244,-29.0
245,-29.5
246,-31.5
247,-33.0
248,-41.0
249,-43.0
250,-30.0
251,-28.5
252,-33.5
253,-28.0
254,-27.5
255,-42.5
256,-66.5
257,-51.5
258,-25.5
259,-31.0
260,-46.0
261,-45.5
262,-39.5
263,-67.5
264,-44.0
265,-20.0
266,-70.0
267,-27.5
268,-62.5
269,-28.5
270,-46.0
271,-23.5
272,-49.5
273,-71.5
274,-7.0
275,-25.5
276,-54.5
277,-38.5
278,-22.5
279,-53.0
280,-27.0
281,-34.5
282,-37.0
283,-55.5
284,-24.5
285,-59.5
286,-84.0
287,-25.5
288,-27.5
289,-48.0
290,-29.0
291,-38.0
292,-21.5
293,-55.0
294,-21.0
295,-24.0
296,-52.0
297,-21.5
298,-38.5
299,-63.0
300,-70.0
301,-65.0
302,-28.0
303,-23.5
304,-27.5
305,-56.0
306,-42.0
307,-54.0
308,-25.5
309,-55.0
310,-16.0
311,-62.5
312,-39.5
313,-37.0
314,-37.5
315,-70.5
316,-47.5
317,-49.5
318,-42.5
319,-26.5
320,-62.5
321,-34.5
322,-22.5
323,-50.0
324,-47.5
325,-35.0
326,-51.5
327,-53.0
328,-22.0
329,-24.5
330,-31.5
331,-26.0
332,-60.0
333,-68.5
334,-24.0
335,-55.0
336,-45.5
337,-53.0
338,-37.0
339,-55.5
340,-56.5
341,-42.5
342,-28.0
343,-33.5
344,-26.5
345,-19.5
346,-47.5
347,-16.5
348,-21.0
349,-56.0
350,-40.0
351,-68.0
352,-51.0
353,-68.5
354,-43.5
355,-23.0
356,-2.5
357,-65.0
358,-33.0
359,-23.0
360,-44.0
361,-20.0
362,-39.5
363,-62.0
364,-33.5
365,-36.0
366,-46.5
367,-57.5
368,-52.0
369,-35.0
370,-64.5
371,-55.0
372,-60.5
373,-48.5
374,-28.5
375,-42.0
376,-24.5
377,-36.0
378,-28.5
379,-35.0
380,-38.5
381,-33.5
382,-23.0
383,-63.5
384,-51.5
385,-33.5
386,-22.0
387,-50.5
388,-45.5
389,-41.0
390,-43.0
391,-35.5
392,-20.5
393,-52.0
394,-47.0
395,-50.0
396,-60.0
397,-19.5
398,-49.5
399,-17.5
400,-61.0
401,-56.0
402,-42.5
403,-46.5
404,-29.0
405,-28.0
406,-57.5
407,-26.0
408,-59.0
409,-45.0
410,-23.5
411,-67.5
412,-33.0
413,-79.5
414,-43.0
415,-33.5
416,-51.5
417,-62.5
418,-63.0
419,-44.5
420,-37.0
421,-39.5
422,-59.5
423,-34.5
424,-36.0
425,-40.0
426,-66.0
427,-6.5
428,-30.0
429,-17.5
430,-43.5
431,-40.5
432,-64.0
433,-20.0
434,-32.0
435,-56.5
436,-58.0
437,-37.0
438,-36.5
439,-27.5
440,-44.5
441,-53.0
442,-39.0
443,-79.0
444,-34.5
445,-27.0
446,-45.0
447,-28.5
448,-39.5
449,-53.0
450,-28.0
451,-48.5
452,-47.5
453,-52.5
454,-36.5
455,-24.5
456,-45.0
457,-57.0
458,-27.5
459,-59.0
460,-37.0
461,-39.0
462,-35.0
463,-28.0
464,-39.5
465,-40.0
466,-43.0
467,-31.5
468,-46.0
469,-38.0
470,-53.0
471,-35.5
472,-26.5
473,-35.0
474,-36.0
475,-32.5
476,-58.5
477,-31.0
478,-51.5
479,-56.0
480,-27.0
481,-29.5
482,-23.5
483,-28.0
484,-61.5
485,-54.0
486,-42.5
487,-82.5
488,-28.0
489,-40.0
490,-67.0
491,-39.5
492,-42.0
493,-42.0
494,-48.0
495,-61.0
496,-61.0
497,-39.5
498,-22.0
499,-53.0
500,-42.5
501,-26.0
502,-39.0
503,-43.5
504,-20.5
505,-28.5
506,-42.5
507,-34.0
508,-15.0
509,-40.0
510,-22.5
511,-24.5
512,-60.0
513,-29.0
514,-25.0
515,-31.0
516,-26.5
517,-23.0
518,-46.5
519,-55.5
520,-55.0
521,-53.5
522,-39.5
523,-26.5
524,-35.0
525,-57.5
526,-40.0
527,-56.5
528,-27.5
529,-32.5
530,-53.5
531,-53.0
532,-32.0
533,-26.5
534,-40.0
535,-63.0
536,-26.0
537,-15.5
538,-28.0
539,-42.0
540,-57.0
541,-32.5
542,-53.5
543,-30.0
544,-26.0
545,-54.5
546,-20.5
547,-46.5
548,-58.5
549,-57.0
550,-61.5
551,-29.0
552,-30.5
553,-32.0
554,-37.0
555,-23.5
556,-51.5
557,-26.0
558,-38.0
559,-23.5
560,-23.0
561,-48.5
562,-35.0
563,-30.5
564,-30.5
565,-5.0
566,-35.5
567,-25.5
568,-58.0
569,-63.0
570,-57.5
571,-32.0
572,-34.0
573,-53.5
574,-50.0
575,-48.5
576,-36.0
577,-25.0
578,-42.0
579,-44.5
580,-48.0
581,-54.5
582,-26.0
583,-30.0
584,-38.0
585,-24.5
586,-20.0
587,-54.5
588,-69.0
589,-27.5
590,-33.5
591,-51.5
592,-35.0
593,-34.0
594,-55.0
595,-38.0
596,-31.0
597,-38.0
598,-34.0
599,-23.5
600,-69.5
601,-45.0
602,-29.0
603,-24.5
604,-15.0
605,-31.5
606,-68.0
607,-27.0
608,-36.0
609,-25.0
610,-53.0
611,-35.5
612,-71.5
613,-55.0
614,-24.5
615,-41.5
616,-51.0
617,-36.5
618,-33.0
619,-43.5
620,-25.5
621,-26.5
622,-23.5
623,-32.0
624,-29.5
625,-28.0
626,-24.5
627,-38.5
628,-30.0
629,-4.5
630,-55.0
631,-47.5
632,-27.0
633,-20.5
634,-25.5
635,-26.5
636,-21.5
637,-42.0
638,-50.5
639,-24.5
640,-26.0
641,-24.0
642,-42.0
643,-14.0
644,-51.0
645,-26.0
646,-77.0
647,-56.0
648,-43.5
649,-38.0
650,-42.0
651,-26.0
652,-19.5
653,-32.0
654,-33.5
655,-35.0
656,-32.5
657,-25.5
658,-24.0
659,-24.5
660,-25.0
661,-38.5
662,-50.0
663,-24.0
664,-60.5
665,-25.0
666,-25.0
667,-40.0
668,-48.0
669,-59.5
670,-26.0
671,-24.0
672,-23.5
673,-26.0
674,-46.5
675,-24.0
676,-31.0
677,-59.5
678,-62.0
679,-13.0
680,-28.5
681,-40.5
682,-25.5
683,-42.0
684,-27.5
685,-41.0
686,-44.5
687,-42.0
688,-50.0
689,-43.5
690,-23.0
691,-64.0
692,-26.0
693,-46.0
694,-51.5
695,-48.5
696,-37.0
697,-35.0
698,-33.0
699,-56.5
700,-36.0
701,-38.0
702,-36.5
703,-48.0
704,-57.0
705,-21.0
706,-45.5
707,-29.0
708,-55.5
709,-34.0
710,-63.0
711,-22.5
712,-60.5
713,-23.5
714,-57.5
715,-22.5
716,-40.0
717,-56.5
718,-57.0
719,-32.5
720,-33.0
721,-46.5
722,-28.5
723,-20.5
724,-19.5
725,-48.0
726,-20.0
727,-35.0
728,-38.5
729,-25.5
730,-30.5
731,-42.0
732,-50.0
733,-23.5
734,-45.5
735,-55.0
736,-63.0
737,-48.5
738,-51.0
739,-26.5
740,-21.5
741,-38.0
742,-55.5
743,-24.0
744,-38.0
745,-55.0
746,-25.5
747,-54.0
748,-26.5
749,-64.0
750,-68.5
751,-62.5
752,-46.0
753,-30.0
754,-41.5
755,-23.5
756,-22.5
757,-52.5
758,-22.0
759,-44.0
760,-35.5
761,-21.5
762,-63.0
763,-33.0
764,-24.5
765,-48.5
766,-47.5
767,-68.5
768,-43.0
769,-22.0
770,-28.5
771,-21.5
772,-63.5
773,-29.5
774,-33.0
775,-47.5
776,-61.0
777,-19.5
778,-40.5
779,-43.5
780,-59.5
781,-28.0
782,-58.0
783,-12.0
784,-21.0
785,-33.5
786,-42.5
787,-48.5
788,-24.5
789,-49.5
790,-23.5
791,-30.5
792,-48.0
793,-35.5
794,-37.0
795,-29.5
796,-22.5
797,-31.5
798,-21.5
799,-35.5
800,-40.0
801,-26.0
802,-29.0
803,-25.0
804,-52.5
805,-41.0
806,-41.0
807,-54.0
808,-40.0
809,-22.5
810,-71.5
811,-44.0
812,-39.0
813,-27.0
814,-30.0
815,-43.0
816,-39.5
817,-28.5
818,-53.0
819,-55.0
820,-10.0
821,-23.5
822,-54.0
823,-39.0
824,-37.5
825,-24.5
826,-29.0
827,-35.0
828,-45.5
829,-23.0
830,-60.0
831,-52.0
832,-23.0
833,-25.0
834,-48.5
835,-17.0
836,-59.0
837,-26.5
838,-64.0
839,-26.5
840,-6.5
841,-29.0
842,-21.5
843,-25.0
844,-22.5
845,-31.5
846,-24.5
847,-30.0
848,-58.0
849,-28.5
850,-23.5
851,-42.0
852,-25.0
853,-19.5
854,-49.0
855,-55.0
856,-51.5
857,-54.5
858,-70.0
859,-26.0
860,-26.5
861,-47.5
862,-93.5
863,-28.0
864,-21.0
865,-24.0
866,-21.5
867,-44.5
868,-26.5
869,-22.0
870,-49.5
871,-29.5
872,-47.0
873,-50.0
874,-30.5
875,-45.0
876,-35.5
877,-22.0
878,-27.5
879,-23.0
880,-36.0
881,-48.0
882,-35.5
883,-23.0
884,-33.0
885,-20.5
886,-29.0
887,-31.0
888,-36.5
889,-26.0
890,-25.0
891,-51.5
892,-22.5
893,-37.0
894,-30.0
895,-4.5
896,-27.5
897,-33.5
898,-28.5
899,-34.0
900,-55.0
901,-23.0
902,-23.0
903,-30.0
904,-21.5
905,-43.5
906,-31.5
907,-33.5
908,-61.0
909,-33.5
910,-67.5
911,-27.5
912,-35.0
913,-25.5
914,-27.5
915,-50.0
916,-32.5
917,-22.5
918,-30.0
919,-40.0
920,-25.5
921,-18.5
922,-54.0
923,-31.0
924,-39.0
925,-27.0
926,-18.0
927,-33.0
928,-56.0
929,-31.0
930,-24.0
931,-27.0
932,-49.5
933,-31.0
934,-25.0
935,-31.5
936,-31.0
937,-44.5
938,-52.0
939,-22.5
940,-25.5
941,-27.0
942,-26.5
943,-63.5
944,-24.0
945,-18.0
946,-36.0
947,-43.5
948,-36.5
949,-28.0
950,-20.0
951,-36.0
952,-54.5
953,-25.0
954,-35.0
955,-24.0
956,-34.5
957,-35.0
958,-22.5
959,-52.5
960,-46.5
961,-37.5
962,-28.5
963,-47.5
964,-40.5
965,-43.0
966,-43.0
967,-15.0
968,-24.5
969,-29.0
970,-23.0
971,-54.5
972,-32.5
973,-29.5
974,-69.5
975,-25.0
976,-52.0
977,-24.0
978,-30.5
979,-44.5
980,-55.0
981,-38.0
982,-24.0
983,-30.0
984,-47.5
985,-25.5
986,-27.5
987,-42.5
988,-38.0
989,-23.0
990,-20.0
991,-10.5
992,-20.5
993,-26.0
994,-15.0
995,-43.5
996,-28.0
997,-25.5
998,-34.5
999,-36.0
1000,-24.5
1001,-24.0
1002,-29.0
1003,-24.0
1004,-35.0
1005,-31.5
1006,-29.0
1007,-31.0
1008,-37.5
1009,-23.5
1010,-22.5
1011,-27.0
1012,-51.0
1013,-22.5
1014,-36.5
1015,-52.5
1016,-25.5
1017,-23.0
1018,-27.0
1019,-33.5
1020,-44.0
1021,-33.5
1022,-24.0
1023,-28.0
1024,-24.5
1025,-20.0
1026,-48.0
1027,-39.5
1028,-66.0
1029,-23.5
1030,-33.5
1031,-26.5
1032,-53.5
1033,-22.0
1034,-43.5
1035,-28.5
1036,-38.5
1037,-47.5
1038,-70.5
1039,-21.0
1040,-25.5
1041,-24.0
1042,-23.0
1043,-20.5
1044,-32.5
1045,-51.5
1046,-26.0
1047,-32.5
1048,-26.5
1049,-37.5
1050,-39.0
1051,-29.0
1052,-41.5
1053,-33.5
1054,-33.0
1055,-37.0
1056,-25.5
1057,-54.0
1058,-50.5
1059,-23.5
1060,-38.0
1061,-27.0
1062,-25.5
1063,-23.5
1064,-24.5
1065,-37.0
1066,-40.0
1067,-40.5
1068,-44.0
1069,-46.5
1070,-55.0
1071,-72.0
1072,-20.0
1073,-42.5
1074,-72.0
1075,-19.5
1076,-42.5
1077,-25.5
1078,-28.5
1079,-27.0
1080,-25.0
1081,-25.5
1082,-24.5
1083,-41.0
1084,-32.5
1085,-47.0
1086,-63.5
1087,-42.0
1088,-20.5
1089,-24.5
1090,-32.5
1091,-21.5
1092,-19.0
1093,-55.5
1094,-20.0
1095,-62.0
1096,-44.0
1097,-47.5
1098,-43.5
1099,-36.0
1100,-23.5
1101,-49.5
1102,-42.0
1103,-21.5
1104,-25.5
1105,-25.0
1106,-48.5
1107,-64.5
1108,-22.5
1109,-39.0
1110,-13.0
1111,-20.5
1112,-24.0
1113,-37.5
1114,-17.5
1115,-24.0
1116,-19.5
1117,-24.5
1118,-25.0
1119,-52.0
1120,-51.0
1121,-12.5
1122,-38.5
1123,-32.0
1124,-57.0
1125,-27.0
1126,-42.5
1127,-19.0
1128,-23.5
1129,-23.5
1130,-26.5
1131,-36.0
1132,-22.5
1133,-18.5
1134,-23.0
1135,-42.0
1136,-70.0
1137,-67.0
1138,-28.5
1139,-20.5
1140,-31.5
1141,-45.0
1142,-28.5
1143,-31.0
1144,-23.0
1145,-37.0
1146,-41.5
1147,-33.0
1148,-22.0
1149,-27.5
1150,-25.0
1151,-46.0
1152,-35.5
1153,-21.5
1154,-58.5
1155,-24.0
1156,-31.0
1157,-41.0
1158,-49.5
1159,-36.5
1160,-39.0
1161,-20.5
1162,-62.0
1163,-30.5
1164,-23.0
1165,-33.0
1166,-28.5
1167,-21.0
1168,-23.5
1169,-44.0
1170,-29.5
1171,-36.0
1172,-38.5
1173,-37.5
1174,-26.5
1175,-23.5
1176,-21.0
1177,-36.5
1178,-24.5
1179,-29.0
1180,-4.0
1181,-27.0
1182,-47.5
1183,-23.0
1184,-50.5
1185,-23.0
1186,-38.5
1187,-24.5
1188,-38.5
1189,-23.5
1190,-26.0
1191,-23.5
1192,-23.5
1193,-25.5
1194,-42.0
1195,-30.5
1196,-35.0
1197,-18.0
1198,-34.0
1199,-35.0
1200,-27.0
1201,-34.0
1202,-28.5
1203,-20.5
1204,-18.0
1205,-40.0
1206,-29.5
1207,-27.0
1208,-48.5
1209,-23.0
1210,-25.0
1211,-44.5
1212,-24.0
1213,-25.5
1214,-45.0
1215,-17.5
1216,-37.5
1217,-33.0
1218,-26.5
1219,-21.5
1220,-22.5
1221,-24.0
1222,-62.0
1223,-20.5
1224,-22.5
1225,-68.0
1226,-46.5
1227,-60.5
1228,-31.0
1229,-57.5
1230,-47.5
1231,-29.5
1232,-22.0
1233,-23.5
1234,-56.0
1235,-38.0
1236,-19.5
1237,-49.0
1238,-22.0
1239,-33.0
1240,-20.5
1241,-54.0
1242,-22.5
1243,-21.0
1244,-47.5
1245,-22.5
1246,-33.5
1247,-28.0
1248,-7.0
1249,-19.0
1250,-31.5
1251,-34.5
1252,-26.5
1253,-39.0
1254,-63.5
1255,-21.5
1256,-17.5
1257,-47.5
1258,-47.0
1259,-21.0
1260,-22.5
1261,-20.5
1262,-26.5
1263,-19.0
1264,-39.0
1265,-13.5
1266,-27.5
1267,-40.0
1268,-19.5
1269,-48.5
1270,-31.0
1271,-23.5
1272,-21.5
1273,-47.5
1274,-32.0
1275,-21.5
1276,-42.5
1277,-24.0
1278,-34.5
1279,-23.5
1280,-42.0
1281,-20.5
1282,-29.5
1283,-34.5
1284,-26.5
1285,-23.5
1286,-39.5
1287,-35.0
1288,-24.5
1289,-23.5
1290,-27.5
1291,-41.5
1292,-34.5
1293,-29.5
1294,-46.5
1295,-24.5
1296,-20.0
1297,-15.5
1298,-23.5
1299,-27.0
1300,-24.0
1301,-45.0
1302,-35.0
1303,-26.0
1304,-57.5
1305,-47.5
1306,-39.5
1307,-22.5
1308,-19.0
1309,-42.0
1310,-43.0
1311,-28.0
1312,-27.0
1313,-24.0
1314,-52.0
1315,-24.5
1316,-25.0
1317,-52.5
1318,-41.5
1319,-12.5
1320,-39.0
1321,-24.0
1322,-23.0
1323,-31.5
1324,-21.5
1325,-42.0
1326,-47.0
1327,-25.5
1328,-22.0
1329,-23.0
1330,-23.0
1331,-48.5
1332,-38.0
1333,-19.0
1334,-24.5
1335,-26.0
1336,-23.0
1337,-44.0
1338,-42.5
1339,-54.5
1340,-48.0
1341,-46.5
1342,-23.5
1343,-24.5
1344,-23.5
1345,-25.0
1346,-24.0
1347,-28.0
1348,-29.0
1349,-23.5
1350,-26.5
1351,-27.5
1352,-24.5
1353,-20.5
1354,-43.0
1355,-71.0
1356,-23.5
1357,-33.0
1358,-25.0
1359,-21.5
1360,-20.5
1361,-25.0
1362,-7.5
1363,-23.5
1364,-24.5
1365,-41.0
1366,-51.0
1367,-58.5
1368,-7.0
1369,-19.5
1370,-27.5
1371,-38.0
1372,-24.0
1373,-21.5
1374,-21.0
1375,-48.0
1376,-34.0
1377,-29.5
1378,-29.5
1379,-23.5
1380,-19.5
1381,-51.5
1382,-21.5
1383,-21.5
1384,-43.5
1385,-14.5
1386,-26.5
1387,-23.5
1388,-36.0
1389,-19.5
1390,-32.5
1391,-58.0
1392,-31.0
1393,-26.5
1394,-21.5
1395,-55.5
1396,-27.5
1397,-53.5
1398,-39.5
1399,-10.5
1400,-38.0
1401,-24.5
1402,-22.5
1403,-34.0
1404,-25.0
1405,-26.5
1406,-23.0
1407,-24.5
1408,-21.0
1409,-29.5
1410,-37.5
1411,-19.5
1412,-21.5
1413,-21.5
1414,-27.0
1415,-37.0
1416,-14.0
1417,-25.5
1418,-43.0
1419,-25.5
1420,-25.5
1421,-41.0
1422,-38.0
1423,-37.5
1424,-52.0
1425,-38.0
1426,-40.5
1427,-37.5
1428,-23.5
1429,-21.5
1430,-47.5
1431,-45.0
1432,-29.0
1433,-31.0
1434,-22.5
1435,-22.5
1436,-22.0
1437,-64.5
1438,-26.0
1439,-43.0
1440,-21.0
1441,-24.0
1442,-18.0
1443,-22.5
1444,-21.0
1445,-29.0
1446,-24.0
1447,-36.0
1448,-25.5
1449,-27.0
1450,-42.0
1451,-21.5
1452,-33.5
1453,-31.5
1454,-25.0
1455,-26.0
1456,-33.0
1457,-23.0
1458,-26.5
1459,-25.5
1460,-24.5
1461,-32.0
1462,-21.5
1463,-31.5
1464,-57.0
1465,-50.5
1466,-24.0
1467,-22.5
1468,-21.5
1469,-49.5
1470,-22.5
1471,-27.0
1472,-14.0
1473,-22.0
1474,-19.0
1475,-24.5
1476,-41.0
1477,-63.5
1478,-52.5
1479,-38.0
1480,-22.0
1481,-22.0
1482,-23.5
1483,-33.5
1484,-39.0
1485,-52.0
1486,-21.5
1487,-20.5
1488,-17.5
1489,-30.5
1490,-34.0
1491,-22.0
1492,-23.0
1493,-26.0
1494,-41.5
1495,-38.0
1496,-21.0
1497,-29.5
1498,-39.5
