episode,reward
0,-24.0
1,-42.5
2,-32.5
3,-57.0
4,-44.0
5,-44.5
6,-65.0
7,-27.0
8,-47.0
9,-41.0
10,-72.0
11,-42.5
12,-31.0
13,-57.0
14,-28.0
15,-23.5
16,-54.0
17,-61.5
18,-40.0
19,-41.5
20,-39.0
21,-34.0
22,-88.0
23,-39.5
24,-42.5
25,-37.5
26,-19.0
27,-62.0
28,-58.5
29,-49.0
30,-44.5
31,-41.5
32,-22.5
33,-44.0
34,-61.5
35,-27.5
36,-72.5
37,-30.5
38,-69.5
39,-25.0
40,-26.5
41,-28.5
42,-60.0
43,-51.5
44,-23.0
45,-50.0
46,-52.0
47,-56.0
48,-67.0
49,-45.5
50,-19.5
51,-46.5
52,-39.0
53,-29.5
54,-43.5
55,-43.0
56,-56.0
57,-64.0
58,-64.5
59,-34.5
60,-48.0
61,-39.0
62,-36.0
63,-39.0
64,-31.5
65,-41.0
66,-38.5
67,-47.5
68,-58.5
69,-52.0
70,-44.5
71,-52.0
72,-55.5
73,-30.0
74,-49.5
75,-38.5
76,-34.0
77,-34.0
78,-54.0
79,-63.0
80,-24.5
81,-45.5
82,-64.0
83,-46.0
84,-49.0
85,-57.5
86,-23.5
87,-43.0
88,-25.5
89,-46.5
90,-50.0
91,-49.0
92,-61.0
93,-25.0
94,-42.0
95,-24.5
96,-14.0
97,-59.5
98,-38.5
99,-77.5
100,-60.0
101,-64.5
102,-27.0
103,-73.0
104,-55.0
105,-32.0
106,-42.0
107,-27.0
108,-51.0
109,-47.0
110,-51.0
111,-21.0
112,-42.0
113,-21.5
114,-51.0
115,-54.0
116,-23.5
117,-37.0
118,-24.0
119,-32.0
120,-42.5
121,-29.5
122,-18.5
123,-68.0
124,-60.0
125,-57.0
126,-45.5
127,-32.5
128,-35.5
129,-64.5
130,-21.5
131,-48.5
132,-27.0
133,-50.5
134,-37.5
135,-25.0
136,-49.0
137,-29.5
138,-45.0
139,-24.0
140,-51.0
141,-41.0
142,-57.5
143,-56.0
144,-45.5
145,-42.0
146,-39.5
147,-43.0
148,-27.0
149,-38.5
150,-56.0
151,-53.0
152,-59.0
153,-49.5
154,-16.0
155,-47.5
156,-25.5
157,-53.5
158,-61.0
159,-67.5
160,-46.5
161,-25.5
162,-35.0
163,-44.0
164,-38.0
165,-37.0
166,-40.0
167,-53.0
168,-37.5
169,-42.5
170,-27.5
171,-28.5
172,-36.0
173,-51.5
174,-57.0
175,-53.0
176,-35.5
177,-42.5
178,-27.0
179,-27.0
180,-26.5
181,-23.5
182,-49.5
183,-35.0
184,-22.5
185,-64.5
186,-38.5
187,-65.0
188,-56.0
189,-26.0
190,-64.0
191,-53.0
192,-55.5
193,-26.5
194,-54.0
195,-25.0
196,-61.0
197,-41.0
198,-41.0
199,-46.0
200,-28.0
201,-49.0
202,-19.0
203,-35.0
204,-50.5
205,-25.5
206,-46.5
207,-29.5
208,-71.0
209,-49.5
210,-25.5
211,-20.5
212,-60.0
213,-60.0
214,-64.5
215,-47.0
216,-24.5
217,-31.0
218,-47.5
219,-29.0
220,-58.5
221,-48.0
222,-38.5
223,-31.0
224,-47.5
225,-32.0
226,-27.0
227,-51.0
228,-20.5
229,-43.5
230,-51.5
231,-66.0
232,-20.5
233,-50.5
234,-50.5
235,-41.5
236,-36.5
237,-42.0
238,-24.0
239,-23.5
240,-29.5
241,-66.5
242,-41.0
243,-48.0
244,-25.0
245,-29.0
246,-16.5
247,-48.0
248,-38.5
249,-36.0
250,-23.0
251,-49.5
252,-36.0
253,-25.5
254,-34.5
255,-46.5
256,-29.5
257,-25.0
258,-43.0
259,-32.0
260,-71.5
261,-41.0
262,-82.0
263,-24.5
264,-46.0
265,-54.0
266,-59.5
267,-54.5
268,-48.0
269,-21.5
270,-27.5
271,-70.5
272,-33.5
273,-21.5
274,-60.0
275,-59.0
276,-39.0
277,-76.5
278,-29.0
279,-31.5
280,-67.5
281,-32.5
282,-53.5
283,-30.5
284,-37.0
285,-31.0
286,-30.5
287,-35.0
288,-41.5
289,-26.5
290,-48.5
291,-57.0
292,-34.0
293,-67.0
294,-24.5
295,-43.5
296,-63.0
297,-29.5
298,-52.5
299,-31.5
300,-48.0
301,-41.0
302,-25.5
303,-62.5
304,-23.5
305,-21.0
306,-23.5
307,-49.0
308,-58.5
309,-41.5
310,-36.0
311,-29.0
312,-64.5
313,-22.5
314,-24.0
315,-51.5
316,-51.0
317,-36.5
318,-62.5
319,-52.5
320,-35.5
321,-35.0
322,-33.0
323,-48.0
324,-65.0
325,-25.5
326,-59.5
327,-28.5
328,-77.0
329,-56.0
330,-59.5
331,-62.5
332,-24.0
333,-37.5
334,-66.5
335,-56.0
336,-38.0
337,-35.0
338,-34.0
339,-42.0
340,-44.0
341,-23.5
342,-40.5
343,-32.0
344,-37.0
345,-36.0
346,-30.5
347,-65.0
348,-52.5
349,-24.0
350,-26.5
351,-56.0
352,-30.0
353,-55.0
354,-78.5
355,-48.0
356,-34.5
357,-21.0
358,-31.0
359,-35.0
360,-29.0
361,-38.5
362,-55.0
363,-53.0
364,-65.0
365,-65.5
366,-33.5
367,-30.0
368,-37.5
369,-20.0
370,-43.0
371,-40.5
372,-23.5
373,-29.0
374,-55.5
375,-22.5
376,-31.5
377,-37.5
378,-36.5
379,-29.0
380,-8.0
381,-25.0
382,-20.5
383,-25.5
384,-43.0
385,-59.0
386,-23.0
387,-35.0
388,-23.0
389,-53.0
390,-66.0
391,-22.5
392,-31.0
393,-35.5
394,-38.0
395,-39.0
396,-42.0
397,-36.0
398,-47.5
399,-32.0
400,-37.0
401,-53.5
402,-51.0
403,-46.0
404,-60.0
405,-25.5
406,-45.5
407,-55.5
408,-24.0
409,-61.0
410,-29.0
411,-52.5
412,-41.0
413,-52.0
414,-21.0
415,-35.5
416,-50.0
417,-67.5
418,-58.5
