episode,reward
0,-37.5
1,-25.0
2,-68.5
3,-49.5
4,-28.0
5,-61.0
6,-61.5
7,-53.0
8,-55.0
9,-48.5
10,-36.5
11,-26.0
12,-35.0
13,-36.0
14,-49.0
15,-67.5
16,-36.0
17,-31.0
18,-53.0
19,-24.0
20,-36.5
21,-52.5
22,-25.0
23,-30.0
24,-64.5
25,-48.0
26,-49.5
27,-29.5
28,-23.5
29,-36.5
30,-52.0
31,-54.5
32,-28.5
33,-56.5
34,-50.5
35,-52.5
36,-23.0
37,-35.5
38,-52.0
39,-18.5
40,-28.5
41,-33.5
42,-43.5
43,-26.5
44,-36.5
45,-62.0
46,-37.5
47,-47.5
48,-27.0
49,-51.0
50,-25.5
51,-41.0
52,-26.5
53,-31.0
54,-43.0
55,-45.5
56,-24.5
57,-44.0
58,-31.0
59,-63.0
60,-38.5
61,-38.0
62,-26.5
63,-46.5
64,-40.0
65,-28.0
66,-41.5
67,-33.0
68,-63.5
69,-69.5
70,-60.5
71,-30.5
72,-28.0
73,-57.0
74,-27.5
75,-31.5
76,-30.5
77,-26.5
78,-61.0
79,-64.5
80,-23.5
81,-26.5
82,-23.5
83,-49.5
84,-33.0
85,-62.5
86,-25.0
87,-49.5
88,-66.5
89,-61.0
90,-61.5
91,-75.0
92,-44.0
93,-71.0
94,-55.5
95,-45.5
96,-24.0
97,-34.5
98,-12.5
99,-54.5
100,-54.5
101,-62.5
102,-46.0
103,-59.0
104,-28.5
105,-26.5
106,-50.5
107,-37.5
108,-45.5
109,-35.5
110,-38.5
111,-26.0
112,-53.5
113,-41.0
114,-31.0
115,-48.5
116,-48.5
117,-65.0
118,-35.5
119,-22.0
120,-9.5
121,-48.0
122,-34.0
123,-51.0
124,-49.0
125,-24.5
126,-65.0
127,-62.0
128,-57.0
129,-25.5
130,-43.5
131,-29.5
132,-37.5
133,-65.0
134,-44.5
135,-57.5
136,-44.5
137,-22.0
138,-28.5
139,-52.0
140,-38.5
141,-28.0
142,-31.0
143,-19.5
144,-27.0
145,-34.0
146,-16.5
147,-63.0
148,-43.0
149,-60.0
150,-41.5
151,-24.5
152,-28.0
153,-52.0
154,-62.0
155,-35.0
156,-42.0
157,-51.0
158,-69.0
159,-82.0
160,-28.0
161,-59.5
162,-48.0
163,-77.5
164,-57.0
165,-34.5
166,-63.5
167,-25.0
168,-42.0
169,-31.5
170,-26.0
171,-56.0
172,-23.0
173,-35.0
174,-24.5
175,-43.0
176,-28.0
177,-33.5
178,-66.5
179,-37.0
180,-25.0
181,-49.0
182,-80.5
183,-29.5
184,-51.0
185,-39.0
186,-60.0
187,-26.0
188,-26.0
189,-22.0
190,-54.5
191,-51.0
192,-42.5
193,-65.5
194,-25.0
195,-32.5
196,-39.5
197,-54.0
198,-34.0
199,-25.0
200,-24.0
201,-40.0
202,-60.5
203,-69.5
204,-40.0
205,-33.5
206,-11.0
207,-51.0
208,-54.0
209,-30.0
210,-24.0
211,-44.0
212,-53.0
213,-63.0
214,-42.0
215,-9.5
216,-30.0
217,-36.0
218,-39.0
219,-22.5
220,-24.0
221,-47.0
222,-50.5
223,-64.0
224,-77.0
225,-76.5
226,-55.0
227,-30.0
228,-28.0
229,-30.5
230,-22.5
231,-54.5
232,-24.0
233,-19.5
234,-48.5
235,-35.0
236,-68.0
237,-62.0
238,-33.0
239,-32.5
240,-66.0
241,-51.0
242,-48.0
243,-63.0
244,-44.5
245,-23.5
246,-35.0
247,-77.0
248,-43.5
249,-32.5
250,-44.5
251,-23.5
252,-39.5
253,-47.5
254,-33.0
255,-66.5
256,-29.5
257,-43.0
258,-26.5
259,-56.5
260,-29.0
261,-26.5
262,-53.5
263,-37.0
264,-51.0
265,-25.0
266,-48.0
267,-37.0
268,-40.5
269,-58.5
270,-24.0
271,-55.0
272,-69.5
273,-42.5
274,-55.0
275,-39.0
276,-32.0
277,-62.0
278,-54.5
279,-23.5
280,-48.5
281,-29.0
282,-39.0
283,-29.5
284,-40.5
285,-24.0
286,-31.5
287,-41.0
288,-60.5
289,-64.0
290,-48.5
291,-46.0
292,-46.5
293,-40.5
294,-37.0
295,-39.5
296,-43.0
297,-45.5
298,-39.5
299,-31.0
300,-69.5
301,-25.5
302,-41.5
303,-70.0
304,-85.5
305,-26.0
306,-57.0
307,-24.5
308,-63.5
309,-38.0
310,-28.5
311,-37.0
312,-33.0
313,-39.5
314,-63.0
315,-48.5
316,-69.0
317,-53.5
318,-44.5
319,-45.0
320,-26.5
321,-50.5
322,-73.0
323,-64.5
324,-57.0
325,-50.5
326,-37.5
327,-62.0
328,-48.5
329,-24.5
330,-28.5
331,-26.0
332,-38.0
333,-55.5
334,-53.0
335,-54.0
336,-62.0
337,-29.0
338,-18.0
339,-57.0
340,-72.5
341,-32.0
342,-35.0
343,-49.5
344,-22.0
345,-25.5
346,-49.5
347,-24.0
348,-39.5
349,-25.0
350,-46.0
351,-48.0
352,-51.5
353,-58.5
354,-62.0
355,-40.5
356,-44.0
357,-31.5
358,-35.0
359,-57.0
360,-40.5
361,-46.5
362,-24.0
363,-47.0
364,-25.5
365,-61.0
366,-21.5
367,-42.0
368,-61.0
369,-57.0
370,-57.5
371,-52.5
372,-63.0
373,-66.0
374,-61.5
375,-44.0
376,-53.5
377,-49.5
378,-49.0
379,-53.5
380,-29.5
381,-31.0
382,-46.5
383,-70.0
384,-25.0
385,-55.0
386,-33.0
387,-25.5
388,-38.0
389,-59.5
390,-50.0
391,-36.5
392,-41.5
393,-41.0
394,-26.5
395,-52.5
396,-47.0
397,-23.5
398,-24.5
399,-72.0
400,-57.0
401,-63.5
402,-37.5
403,-44.0
404,-24.5
405,-17.5
406,-23.0
407,-33.5
408,-51.0
409,-25.0
410,-45.0
411,-37.5
412,-17.5
413,-34.5
414,-30.0
415,-14.0
416,-50.0
417,-60.5
418,-28.0
419,-46.0
420,-22.5
421,-29.5
422,-57.0
423,-35.0
424,-26.5
425,-28.5
426,-25.5
427,-38.5
428,-44.5
429,-28.5
430,-26.0
431,-38.0
432,-27.0
433,-61.0
434,-40.0
435,-26.5
436,-27.5
437,-60.5
438,-36.0
439,-26.5
440,-49.5
441,-30.5
442,-32.0
443,-49.0
444,-23.0
445,-26.5
446,-43.5
447,-51.5
448,-57.0
449,-41.0
450,-56.0
451,-37.5
452,-31.5
453,-52.5
454,-52.5
455,-20.5
456,-54.0
457,-48.0
458,-32.5
459,-51.5
460,-52.0
461,-19.5
462,-23.0
463,-32.5
464,-40.0
465,-33.5
466,-37.0
467,-44.5
468,-41.5
469,-35.5
470,-25.0
471,-29.5
472,-25.0
473,-24.5
474,-33.5
475,-22.5
476,-22.5
477,-50.0
478,-59.0
479,-38.5
480,-37.5
481,-31.0
482,-24.5
483,-48.5
484,-23.5
485,-35.5
486,-65.5
487,-58.0
488,-40.5
489,-35.5
490,-48.5
491,-43.0
492,-54.0
493,-27.5
494,-48.5
495,-49.5
496,-42.5
497,-21.0
498,-27.5
499,-25.0
500,-21.5
501,-55.0
502,-48.0
503,-40.5
504,-33.5
505,-23.0
506,-26.0
507,-47.5
508,-37.5
509,-27.0
510,-36.0
511,-27.0
512,-63.5
513,-58.0
514,-45.0
515,-42.0
516,-59.5
517,-33.5
518,-23.5
519,-25.0
520,-31.5
521,-25.5
522,-22.5
523,-61.0
524,-39.0
525,-33.5
526,-46.0
527,-40.0
528,-26.5
529,-25.0
530,-20.5
531,-9.5
532,-41.5
533,-26.0
534,-57.5
535,-27.5
536,-50.0
537,-25.0
538,-43.0
539,-49.0
540,-66.5
541,-39.5
542,-36.0
543,-36.5
544,-25.5
545,-28.5
546,-31.0
547,-43.0
548,-43.5
549,-81.5
550,-48.0
551,-35.0
552,-25.0
553,-42.0
554,-49.0
555,-43.5
556,-50.5
557,-29.0
558,-38.0
559,-20.5
560,-53.0
561,-21.5
562,-22.0
563,-24.5
564,-27.5
565,-35.0
566,-45.0
567,-27.5
568,-25.5
569,-59.0
570,-48.5
571,-49.0
572,-49.5
573,-25.0
574,-59.0
575,-23.0
576,-62.5
577,-52.0
578,-51.0
579,-77.0
580,-42.5
581,-51.5
582,-22.0
583,-73.0
584,-36.0
585,-40.0
586,-67.5
587,-65.5
588,-33.0
589,-26.0
590,-51.5
591,-46.0
592,-26.0
593,-43.0
594,-27.5
595,-57.0
596,-19.5
597,-40.0
598,-18.5
599,-48.5
600,-24.5
601,-38.5
602,-30.0
603,-35.5
604,-44.0
605,-35.5
606,-50.0
607,-36.0
608,-47.0
609,-51.0
610,-33.0
611,-66.0
612,-50.5
613,-45.5
614,-21.0
615,-39.5
616,-24.0
617,-38.5
618,-19.5
619,-28.5
620,-36.5
621,-55.5
622,-24.0
623,-40.5
624,-50.0
625,-39.0
626,-31.0
627,-40.0
628,-60.5
629,-8.5
630,-27.0
631,-26.0
632,-24.0
633,-41.0
634,-31.0
635,-29.5
636,-37.0
637,-29.5
638,-20.0
639,-52.5
640,-62.0
641,-47.5
642,-35.0
643,-25.0
644,-58.0
645,-27.0
646,-32.5
647,-55.0
648,-36.5
649,-25.0
650,-29.0
651,-49.5
652,-44.0
653,-59.0
654,-41.0
655,-41.0
656,-33.5
657,-31.5
658,-19.5
659,-44.0
660,-56.5
661,-26.5
662,-46.5
663,-38.0
664,-25.0
665,-24.0
666,-21.5
667,-51.0
668,-37.5
669,-29.5
670,-27.5
671,-34.5
672,-26.5
673,-39.0
674,-55.5
675,-42.5
676,-75.5
677,-20.5
678,-33.0
679,-66.5
680,-30.0
681,-27.0
682,-72.0
683,-23.0
684,-27.5
685,-26.5
686,-49.5
687,-32.0
688,-38.5
689,-39.5
690,-30.0
691,-52.0
692,-18.5
693,-20.0
694,-48.0
695,-25.5
696,-45.0
697,-22.5
698,-25.5
699,-46.5
700,-50.5
701,-80.0
702,-35.0
703,-43.5
