episode,reward
0,-45.5
1,-23.5
2,-38.0
3,-41.5
4,-21.0
5,-28.0
6,-60.0
7,-53.0
8,-27.0
9,-23.5
10,-67.0
11,-37.0
12,-34.0
13,-13.5
14,-35.0
15,-50.5
16,-39.0
17,-63.5
18,-51.5
19,-33.5
20,-68.0
21,-44.5
22,-49.0
23,-66.0
24,-57.0
25,-23.5
26,-35.0
27,-44.0
28,-38.0
29,-63.5
30,-36.0
31,-17.0
32,-39.5
33,-53.5
34,-40.5
35,-45.0
36,-60.0
37,-24.0
38,-55.5
39,-62.0
40,-59.5
41,-32.0
42,-31.0
43,-47.0
44,-64.5
45,-27.5
46,-40.0
47,-50.5
48,-53.0
49,-7.0
50,-49.5
51,-44.5
52,-52.5
53,-62.5
54,-23.0
55,-40.0
56,-75.0
57,-78.5
58,-27.0
59,-21.0
60,-46.5
61,-23.0
62,-53.0
63,-66.0
64,-26.0
65,-73.5
66,-47.0
67,-50.0
68,-50.5
69,-39.0
70,-33.5
71,-74.5
72,-43.5
73,-83.0
74,-60.0
75,-57.5
76,-24.0
77,-33.0
78,-34.5
79,-31.5
80,-38.0
81,-54.5
82,-32.0
83,-13.5
84,-60.0
85,-37.5
86,-69.5
87,-62.5
88,-39.5
89,-64.0
90,-58.0
91,-37.0
92,-23.5
93,-48.0
94,-70.0
95,-9.5
96,-54.5
97,-42.5
98,-67.5
99,-23.0
100,-54.5
101,-44.5
102,-27.5
103,-40.0
104,-27.0
105,-49.0
106,-24.5
107,-66.5
108,-66.5
109,-54.5
110,-35.0
111,-49.5
112,-22.5
113,-37.5
114,-64.0
115,-48.0
116,-9.0
117,-32.0
118,-59.0
119,-47.0
120,-54.5
121,-26.0
122,-40.5
123,-27.0
124,-45.0
125,-23.5
126,-65.0
127,-27.0
128,-20.5
129,-55.5
130,-39.0
131,-52.5
132,-33.5
133,-26.0
134,-61.5
135,-71.5
136,-58.5
137,-58.0
138,-36.5
139,-6.0
140,-48.5
141,-25.0
142,-19.5
143,-34.0
144,-57.5
145,-41.5
146,-60.5
147,-21.0
148,-47.5
149,-40.5
150,-29.5
151,-45.0
152,-45.0
153,-43.5
154,-22.5
155,-41.0
156,-33.5
157,-19.5
158,-41.5
159,-24.5
160,-27.0
161,-39.5
162,-21.5
163,-33.5
164,-52.0
165,-27.5
166,-54.0
167,-33.0
168,-56.0
169,-57.0
170,-63.0
171,-50.5
172,-29.0
173,-23.0
174,-26.5
175,-38.0
176,-22.5
177,-52.5
178,-30.0
179,-45.5
180,-39.5
181,-29.5
182,-24.5
183,-21.0
184,-7.5
185,-71.0
186,-28.5
187,-24.5
188,-25.5
189,-41.5
190,-30.0
191,-24.0
192,-57.0
193,-72.0
194,-29.0
195,-40.0
196,-63.5
197,-42.5
198,-59.0
199,-32.0
200,-25.5
201,-38.5
202,-51.0
203,-42.0
204,-48.5
205,-38.5
206,-13.5
207,-40.5
208,-42.0
209,-59.0
210,-46.0
211,-80.5
212,-42.5
213,-67.0
214,-60.0
215,-37.0
216,-53.5
217,-13.5
218,-37.0
219,-21.0
220,-26.5
221,-23.5
222,-52.5
223,-70.0
224,-6.5
225,-21.0
226,-24.0
227,-66.0
228,-40.5
229,-23.0
230,-40.5
231,-37.0
232,-45.5
233,-51.5
234,-58.5
235,-44.5
236,-54.0
237,-59.0
238,-35.0
239,-29.5
240,-24.5
241,-22.5
242,-23.0
243,-37.5
244,-32.0
245,-80.0
246,-41.0
247,-49.5
248,-51.5
249,-24.5
250,-59.5
251,-48.0
252,-45.5
253,-50.5
254,-45.0
255,-57.5
256,-24.5
257,-42.5
258,-48.5
259,-62.5
260,-28.0
261,-68.0
262,-49.5
263,-22.0
264,-49.5
265,-23.5
266,-26.0
267,-75.0
268,-53.0
269,-37.0
270,-33.5
271,-29.5
272,-62.0
273,-61.5
274,-43.0
275,-56.0
276,-57.0
277,-27.0
278,-46.0
279,-46.5
280,-55.5
281,-72.0
282,-36.0
283,-43.5
284,-32.5
285,-36.0
286,-30.5
287,-25.0
288,-34.5
289,-30.5
290,-31.5
291,-41.5
292,-24.5
293,-25.0
294,-40.5
295,-43.0
296,-50.5
297,-54.0
298,-47.0
299,-68.5
300,-23.5
301,-41.0
302,-36.0
303,-49.0
304,-34.0
305,-38.5
306,-50.0
307,-25.5
308,-85.0
309,-52.0
310,-48.5
311,-45.5
312,-53.0
313,-52.0
314,-53.0
315,-56.0
316,-51.0
317,-26.5
318,-47.5
319,-25.0
320,-26.0
321,-32.5
322,-46.5
323,-42.0
324,-24.0
325,-75.5
326,-29.0
327,-27.0
328,-33.0
329,-14.5
330,-23.5
331,-47.0
332,-25.0
333,-17.0
334,-61.5
335,-32.5
336,-42.0
337,-35.5
338,-42.5
339,-19.5
340,-46.0
341,-52.5
342,-31.0
343,-24.0
344,-43.5
345,-46.0
346,-42.0
347,-38.0
348,-51.5
349,-24.5
350,-26.0
351,-54.5
352,-48.5
353,-42.5
354,-77.0
355,-57.0
356,-50.5
357,-43.5
358,-52.5
359,-38.5
360,-49.5
361,-40.5
362,-42.5
363,-27.0
364,-35.5
365,-22.5
366,-34.0
367,-25.0
368,-26.0
369,-62.0
370,-23.5
371,-26.0
372,-38.0
373,-21.5
374,-29.5
375,-41.0
376,-22.5
377,-47.0
378,-28.5
379,-68.5
380,-29.0
381,-19.5
382,-60.0
383,-40.5
384,-63.0
385,-34.5
386,-44.5
387,-61.5
388,-23.0
389,-39.5
390,-52.5
391,-42.5
392,-26.5
393,-56.0
394,-38.5
395,-31.0
396,-41.0
397,-37.0
398,-26.0
399,-45.5
400,-32.5
401,-58.5
402,-75.5
403,-22.0
404,-30.0
405,-24.5
406,-44.0
407,-36.0
408,-57.5
409,-48.5
410,-59.0
411,-34.0
412,-29.0
